Fact,Category
Rembrandt used dramatic contrasts of light and shadow called chiaroscuro.,Arts & Culture - Art & Architecture
Impressionists painted outdoors to capture natural light.,Arts & Culture - Art & Architecture
Van Gogh only sold one painting in his lifetime.,Arts & Culture - Art & Architecture
Picasso could draw before he could write.,Arts & Culture - Art & Architecture
Cubism broke objects into geometric shapes from multiple perspectives.,Arts & Culture - Art & Architecture
Salvador Dalí claimed to enter “dream-like states” for his surrealist art.,Arts & Culture - Art & Architecture
Jackson Pollock invented “drip painting” by flinging paint onto canvases.,Arts & Culture - Art & Architecture
Andy Warhol turned soup cans into pop art.,Arts & Culture - Art & Architecture
"The Louvre Museum in Paris holds over 35,000 works of art.",Arts & Culture - Art & Architecture
The Uffizi Gallery in Florence houses many Renaissance masterpieces.,Arts & Culture - Art & Architecture
The Prado Museum in Madrid focuses on Spanish masters like Velázquez.,Arts & Culture - Art & Architecture
The British Museum contains the Rosetta Stone.,Arts & Culture - Art & Architecture
The Smithsonian Institution is the world’s largest museum complex.,Arts & Culture - Art & Architecture
The Vatican Museums house the Sistine Chapel.,Arts & Culture - Art & Architecture
The Metropolitan Museum of Art in New York has over 2 million objects.,Arts & Culture - Art & Architecture
Museums now use climate-controlled rooms to protect delicate art.,Arts & Culture - Art & Architecture
Street art has become a global cultural movement.,Arts & Culture - Art & Architecture
Banksy is a famous anonymous street artist.,Arts & Culture - Art & Architecture
Graffiti has roots in ancient Roman cities like Pompeii.,Arts & Culture - Art & Architecture
The Eiffel Tower was supposed to be temporary for the 1889 Expo.,Arts & Culture - Art & Architecture
Big Ben’s clock tower is officially called the Elizabeth Tower.,Arts & Culture - Art & Architecture
The White House has undergone multiple architectural renovations.,Arts & Culture - Art & Architecture
The Pentagon is the world’s largest office building.,Arts & Culture - Art & Architecture
"The Great Wall of China stretches over 13,000 miles.",Arts & Culture - Art & Architecture
"The Forbidden City in Beijing has nearly 1,000 buildings.",Arts & Culture - Art & Architecture
Angkor Wat in Cambodia is the largest religious monument in the world.,Arts & Culture - Art & Architecture
The Petronas Towers in Malaysia were once the tallest in the world.,Arts & Culture - Art & Architecture
The Shard in London is the tallest building in the UK.,Arts & Culture - Art & Architecture
Dubai’s Palm Islands are man-made landmasses visible from space.,Arts & Culture - Art & Architecture
The Hoover Dam was the largest concrete structure when built.,Arts & Culture - Art & Architecture
The Golden Gate Bridge was painted orange for visibility in fog.,Arts & Culture - Art & Architecture
The CN Tower in Toronto was the tallest tower until 2009.,Arts & Culture - Art & Architecture
The Statue of Liberty was a gift from France.,Arts & Culture - Art & Architecture
"Art Nouveau featured flowing, plant-like lines.",Arts & Culture - Art & Architecture
The Bauhaus movement emphasized functionality in design.,Arts & Culture - Art & Architecture
Brutalism used raw concrete and stark geometry.,Arts & Culture - Art & Architecture
Minimalism stripped art down to simple forms.,Arts & Culture - Art & Architecture
Postmodern architecture often mixes historical references.,Arts & Culture - Art & Architecture
Futurism glorified machines and speed.,Arts & Culture - Art & Architecture
Dada rejected reason in favor of absurdity.,Arts & Culture - Art & Architecture
Surrealism drew inspiration from Freud’s theories of dreams.,Arts & Culture - Art & Architecture
Expressionism conveyed inner emotions through distortion.,Arts & Culture - Art & Architecture
Realism depicted everyday life as it was.,Arts & Culture - Art & Architecture
Roman aqueducts used arches for strength.,Arts & Culture - Art & Architecture
Gothic spires reached towards heaven as a symbol.,Arts & Culture - Art & Architecture
Baroque churches used theatrical decoration.,Arts & Culture - Art & Architecture
Rococo art emphasized elegance and pastel colors.,Arts & Culture - Art & Architecture
Neoclassicism revived Greco-Roman ideals.,Arts & Culture - Art & Architecture
Romanticism valued nature and emotion.,Arts & Culture - Art & Architecture
Modernism broke with tradition in the 20th century.,Arts & Culture - Art & Architecture
Postmodernism embraced irony and eclecticism.,Arts & Culture - Art & Architecture
Digital art has transformed modern creativity.,Arts & Culture - Art & Architecture
3D printing is now used in architecture.,Arts & Culture - Art & Architecture
Virtual reality allows immersive art experiences.,Arts & Culture - Art & Architecture
Architecture must balance beauty with function.,Arts & Culture - Art & Architecture
The tallest wooden building is Mjøstårnet in Norway.,Arts & Culture - Art & Architecture
Sustainable architecture uses renewable materials.,Arts & Culture - Art & Architecture
Green roofs reduce urban heat.,Arts & Culture - Art & Architecture
Bamboo is a strong eco-friendly material.,Arts & Culture - Art & Architecture
Adobe bricks have been used for thousands of years.,Arts & Culture - Art & Architecture
The Colosseum used retractable awnings for shade.,Arts & Culture - Art & Architecture
Roman concrete has lasted longer than modern versions.,Arts & Culture - Art & Architecture
The Alhambra in Spain combines Islamic and Christian design.,Arts & Culture - Art & Architecture
The Palace of Versailles showcases French Baroque opulence.,Arts & Culture - Art & Architecture
Notre-Dame Cathedral took over 180 years to complete.,Arts & Culture - Art & Architecture
The Chrysler Building is an Art Deco icon.,Arts & Culture - Art & Architecture
St. Basil’s Cathedral in Moscow is famous for its colorful onion domes.,Arts & Culture - Art & Architecture
The Dome of the Rock is one of the earliest Islamic monuments.,Arts & Culture - Art & Architecture
The pyramids of Teotihuacan are aligned with the sun.,Arts & Culture - Art & Architecture
The Aztec Templo Mayor was rebuilt multiple times.,Arts & Culture - Art & Architecture
The Inca fortress Machu Picchu was rediscovered in 1911.,Arts & Culture - Art & Architecture
Petra in Jordan was carved into rock cliffs.,Arts & Culture - Art & Architecture
Gothic cathedrals often took centuries to complete.,Arts & Culture - Art & Architecture
Artists used egg yolk in tempera paint before oil painting.,Arts & Culture - Art & Architecture
Oil painting allowed smoother blending of colors.,Arts & Culture - Art & Architecture
Frescoes are painted directly on wet plaster.,Arts & Culture - Art & Architecture
Mosaic art uses small pieces of glass or stone.,Arts & Culture - Art & Architecture
Tesserae are the tiny mosaic pieces.,Arts & Culture - Art & Architecture
Kintsugi is the Japanese art of repairing pottery with gold.,Arts & Culture - Art & Architecture
Origami is the art of paper folding.,Arts & Culture - Art & Architecture
Ukiyo-e are Japanese woodblock prints.,Arts & Culture - Art & Architecture
Calligraphy is considered art in many cultures.,Arts & Culture - Art & Architecture
Islamic calligraphy decorates mosques.,Arts & Culture - Art & Architecture
Illuminated manuscripts used gold leaf.,Arts & Culture - Art & Architecture
Tapestries warmed medieval castle walls.,Arts & Culture - Art & Architecture
The Bayeux Tapestry depicts the Norman conquest.,Arts & Culture - Art & Architecture
Quilting is both craft and art.,Arts & Culture - Art & Architecture
Pottery is one of the oldest art forms.,Arts & Culture - Art & Architecture
Glassblowing originated around 1st century BCE.,Arts & Culture - Art & Architecture
Fabergé eggs are jeweled masterpieces from Russia.,Arts & Culture - Art & Architecture
Stained glass is created by adding metallic salts to glass.,Arts & Culture - Art & Architecture
Encaustic painting uses hot wax.,Arts & Culture - Art & Architecture
Graffiti became a recognized art form in the 20th century.,Arts & Culture - Art & Architecture
Sculptures can be additive (clay) or subtractive (stone).,Arts & Culture - Art & Architecture
Bronze casting has been used since antiquity.,Arts & Culture - Art & Architecture
Marble is favored for detailed sculpture.,Arts & Culture - Art & Architecture
Rodin revolutionized modern sculpture.,Arts & Culture - Art & Architecture
Constantin Brâncuși simplified forms into abstraction.,Arts & Culture - Art & Architecture
Louise Bourgeois created giant spider sculptures.,Arts & Culture - Art & Architecture
Christo and Jeanne-Claude wrapped buildings as art.,Arts & Culture - Art & Architecture
Land art uses natural landscapes as canvas.,Arts & Culture - Art & Architecture
Banksy uses stencils for quick graffiti works.,Arts & Culture - Art & Architecture
Street murals often become landmarks.,Arts & Culture - Art & Architecture
Digital projection mapping turns buildings into art.,Arts & Culture - Art & Architecture
Interactive installations invite audience participation.,Arts & Culture - Art & Architecture
Performance art blurs boundaries between art and theater.,Arts & Culture - Art & Architecture
Conceptual art emphasizes ideas over objects.,Arts & Culture - Art & Architecture
Minimalist architecture strips down to essentials.,Arts & Culture - Art & Architecture
Postmodern skyscrapers often reference historical styles.,Arts & Culture - Art & Architecture
Deconstructivist architecture creates fragmented shapes.,Arts & Culture - Art & Architecture
Zaha Hadid pioneered futuristic architectural forms.,Arts & Culture - Art & Architecture
Frank Gehry designed the titanium-covered Guggenheim Bilbao.,Arts & Culture - Art & Architecture
"The future of art and architecture is increasingly hybrid: mixing technology, sustainability, and cultural memory.",Arts & Culture - Art & Architecture
The first motion picture was made in the late 19th century.,Arts & Culture - Film & Media
The earliest surviving motion picture is Roundhay Garden Scene (1888).,Arts & Culture - Film & Media
The Lumière brothers are considered pioneers of cinema.,Arts & Culture - Film & Media
Their first film screening in 1895 in Paris marked the birth of cinema.,Arts & Culture - Film & Media
"Georges Méliès created the first science fiction film, A Trip to the Moon (1902).",Arts & Culture - Film & Media
Silent films dominated cinema until the late 1920s.,Arts & Culture - Film & Media
The first synchronized sound film was The Jazz Singer (1927).,Arts & Culture - Film & Media
Charlie Chaplin was the most famous silent film star.,Arts & Culture - Film & Media
Chaplin resisted “talkies” but later embraced them.,Arts & Culture - Film & Media
Hollywood’s “Golden Age” spanned the 1930s–1950s.,Arts & Culture - Film & Media
The Hollywood sign originally read “Hollywoodland.”,Arts & Culture - Film & Media
The Oscars (Academy Awards) began in 1929.,Arts & Culture - Film & Media
The first Best Picture winner was Wings (1927).,Arts & Culture - Film & Media
Walt Disney’s Snow White (1937) was the first full-length animated feature.,Arts & Culture - Film & Media
Disney pioneered synchronized sound in animation with Steamboat Willie.,Arts & Culture - Film & Media
Stop-motion animation dates back to early 20th century.,Arts & Culture - Film & Media
Ray Harryhausen advanced stop-motion with monster films.,Arts & Culture - Film & Media
Japanese kaiju films began with Godzilla (1954).,Arts & Culture - Film & Media
Alfred Hitchcock is known as the “Master of Suspense.”,Arts & Culture - Film & Media
Hitchcock pioneered the “MacGuffin” plot device.,Arts & Culture - Film & Media
Orson Welles’ Citizen Kane (1941) is often considered the greatest film ever made.,Arts & Culture - Film & Media
Citizen Kane revolutionized cinematography with deep focus shots.,Arts & Culture - Film & Media
Italian Neorealism used non-professional actors and real locations.,Arts & Culture - Film & Media
French New Wave films emphasized experimental editing.,Arts & Culture - Film & Media
The “auteur theory” considers directors as film’s primary authors.,Arts & Culture - Film & Media
Akira Kurosawa’s Seven Samurai influenced Western cinema.,Arts & Culture - Film & Media
Star Wars (1977) redefined special effects and blockbuster films.,Arts & Culture - Film & Media
George Lucas pioneered sound design with THX systems.,Arts & Culture - Film & Media
Steven Spielberg popularized the summer blockbuster with Jaws.,Arts & Culture - Film & Media
"Pixar revolutionized animation with Toy Story (1995), the first fully CGI feature.",Arts & Culture - Film & Media
Motion capture technology brought characters like Gollum to life.,Arts & Culture - Film & Media
Peter Jackson’s Lord of the Rings trilogy won 17 Oscars.,Arts & Culture - Film & Media
James Cameron’s Avatar (2009) was the highest-grossing film for a decade.,Arts & Culture - Film & Media
Marvel’s Avengers: Endgame (2019) surpassed Avatar temporarily.,Arts & Culture - Film & Media
Streaming platforms have reshaped the film industry.,Arts & Culture - Film & Media
Netflix produced its first original series in 2013 (House of Cards).,Arts & Culture - Film & Media
Television began as an experimental technology in the 1920s.,Arts & Culture - Film & Media
Regular TV broadcasting started in the 1930s.,Arts & Culture - Film & Media
Color television was introduced widely in the 1950s.,Arts & Culture - Film & Media
The first TV advertisement aired in 1941 for Bulova watches.,Arts & Culture - Film & Media
Sitcoms like I Love Lucy shaped early TV culture.,Arts & Culture - Film & Media
Soap operas were named because they were sponsored by soap companies.,Arts & Culture - Film & Media
Reality TV grew in popularity with Survivor and Big Brother.,Arts & Culture - Film & Media
News broadcasting transformed politics and global awareness.,Arts & Culture - Film & Media
CNN was the first 24-hour news channel.,Arts & Culture - Film & Media
MTV launched in 1981 with the video “Video Killed the Radio Star.”,Arts & Culture - Film & Media
Music videos became a dominant cultural form.,Arts & Culture - Film & Media
YouTube (founded 2005) revolutionized video sharing.,Arts & Culture - Film & Media
"Today, billions of hours of video are watched on YouTube each day.",Arts & Culture - Film & Media
TikTok has become the fastest-growing short video platform.,Arts & Culture - Film & Media
Social media blurs the line between media and personal life.,Arts & Culture - Film & Media
The documentary film genre informs as well as entertains.,Arts & Culture - Film & Media
Nanook of the North (1922) is considered the first feature-length documentary.,Arts & Culture - Film & Media
Ken Burns popularized the use of slow pans across photos in documentaries.,Arts & Culture - Film & Media
"Animated documentaries now exist, blending fiction and nonfiction.",Arts & Culture - Film & Media
Video games are considered a form of media art.,Arts & Culture - Film & Media
The gaming industry is larger than the movie and music industries combined.,Arts & Culture - Film & Media
Storytelling in games rivals film narratives.,Arts & Culture - Film & Media
Esports tournaments attract millions of viewers.,Arts & Culture - Film & Media
Virtual reality films immerse viewers in 360° storytelling.,Arts & Culture - Film & Media
Augmented reality adds digital overlays to real environments.,Arts & Culture - Film & Media
The first 3D film was shown in 1922 (The Power of Love).,Arts & Culture - Film & Media
IMAX screens are up to 8 stories tall.,Arts & Culture - Film & Media
Dolby Atmos provides 3D surround sound for films.,Arts & Culture - Film & Media
Subtitles make media accessible to wider audiences.,Arts & Culture - Film & Media
Closed captions help the hearing impaired.,Arts & Culture - Film & Media
Dubbing replaces dialogue for international release.,Arts & Culture - Film & Media
Foley artists create sound effects for films.,Arts & Culture - Film & Media
ADR (automated dialogue replacement) re-records actor lines.,Arts & Culture - Film & Media
The Wilhelm scream is a famous reused sound effect.,Arts & Culture - Film & Media
Practical effects are often more convincing than CGI.,Arts & Culture - Film & Media
Christopher Nolan prefers practical effects where possible.,Arts & Culture - Film & Media
Miniature models were used for Star Wars space battles.,Arts & Culture - Film & Media
Stop-motion was used for the original King Kong (1933).,Arts & Culture - Film & Media
Puppetry created characters like Yoda in Star Wars.,Arts & Culture - Film & Media
Jim Henson’s Muppets are an iconic media creation.,Arts & Culture - Film & Media
Claymation is a stop-motion form using clay models.,Arts & Culture - Film & Media
Aardman Studios created Wallace and Gromit.,Arts & Culture - Film & Media
Anime is Japan’s global cultural media export.,Arts & Culture - Film & Media
Studio Ghibli films are beloved worldwide.,Arts & Culture - Film & Media
Hayao Miyazaki’s Spirited Away won an Academy Award.,Arts & Culture - Film & Media
Bollywood produces more films annually than Hollywood.,Arts & Culture - Film & Media
Nollywood (Nigeria) is one of the largest film industries.,Arts & Culture - Film & Media
South Korean cinema gained global recognition with Parasite (2019).,Arts & Culture - Film & Media
Parasite was the first non-English film to win Best Picture at the Oscars.,Arts & Culture - Film & Media
Media censorship varies worldwide.,Arts & Culture - Film & Media
Some films are banned in certain countries.,Arts & Culture - Film & Media
Propaganda films have been used throughout history.,Arts & Culture - Film & Media
Leni Riefenstahl’s Triumph of the Will is infamous Nazi propaganda.,Arts & Culture - Film & Media
"During WWII, Disney made propaganda cartoons.",Arts & Culture - Film & Media
Satire in media challenges politics and culture.,Arts & Culture - Film & Media
The Daily Show uses satire to critique current events.,Arts & Culture - Film & Media
Late-night talk shows blend comedy and commentary.,Arts & Culture - Film & Media
Advertising funds most mass media.,Arts & Culture - Film & Media
Product placement puts brands directly into films.,Arts & Culture - Film & Media
Merchandising often surpasses film profits.,Arts & Culture - Film & Media
Star Wars merchandise has generated billions.,Arts & Culture - Film & Media
"Fan culture creates new media forms (fanfiction, fan films).",Arts & Culture - Film & Media
Cosplay is a global fan-driven performance art.,Arts & Culture - Film & Media
Conventions like Comic-Con celebrate media fandom.,Arts & Culture - Film & Media
Media literacy is crucial in the digital age.,Arts & Culture - Film & Media
“Fake news” highlights the dangers of misinformation.,Arts & Culture - Film & Media
Deepfakes blur truth and fiction in media.,Arts & Culture - Film & Media
Memes are a new cultural media language.,Arts & Culture - Film & Media
Viral videos spread faster than traditional media.,Arts & Culture - Film & Media
Short attention spans shape modern media formats.,Arts & Culture - Film & Media
Algorithms determine what we watch.,Arts & Culture - Film & Media
Binge-watching reshaped viewing habits.,Arts & Culture - Film & Media
Serialized streaming shows revive old TV models.,Arts & Culture - Film & Media
Cliffhangers keep viewers engaged.,Arts & Culture - Film & Media
Media franchises dominate entertainment.,Arts & Culture - Film & Media
The Marvel Cinematic Universe is the highest-grossing franchise.,Arts & Culture - Film & Media
Harry Potter and Lord of the Rings also became media empires.,Arts & Culture - Film & Media
"Crossovers between media (games, comics, films) are common.",Arts & Culture - Film & Media
Transmedia storytelling spreads a narrative across formats.,Arts & Culture - Film & Media
"Star Wars uses films, shows, books, and games to build lore.",Arts & Culture - Film & Media
Interactive films allow viewers to choose outcomes.,Arts & Culture - Film & Media
Bandersnatch on Netflix was an interactive film experiment.,Arts & Culture - Film & Media
Podcasts are an audio form of modern storytelling.,Arts & Culture - Film & Media
True crime podcasts dominate charts.,Arts & Culture - Film & Media
Radio dramas were the original “theater of the mind.”,Arts & Culture - Film & Media
War of the Worlds (1938) caused panic when presented as real news.,Arts & Culture - Film & Media
Talk radio shaped 20th-century politics.,Arts & Culture - Film & Media
Public broadcasting educates as well as entertains.,Arts & Culture - Film & Media
Sesame Street pioneered educational children’s TV.,Arts & Culture - Film & Media
Media can shape social change.,Arts & Culture - Film & Media
Documentaries like An Inconvenient Truth impacted climate awareness.,Arts & Culture - Film & Media
Films like Schindler’s List preserve historical memory.,Arts & Culture - Film & Media
Films often influence fashion and trends.,Arts & Culture - Film & Media
The Matrix popularized black trench coats and sunglasses.,Arts & Culture - Film & Media
The James Bond franchise has run for 60+ years.,Arts & Culture - Film & Media
Dr. No (1962) was the first Bond film.,Arts & Culture - Film & Media
Bond’s gadgets reflect real-world technology.,Arts & Culture - Film & Media
Spy thrillers influence real espionage culture.,Arts & Culture - Film & Media
War films shape perceptions of conflict.,Arts & Culture - Film & Media
Westerns were once the most popular genre in the U.S.,Arts & Culture - Film & Media
Martial arts films brought Asian cinema global fame.,Arts & Culture - Film & Media
Bruce Lee revolutionized martial arts in film.,Arts & Culture - Film & Media
Jackie Chan fused comedy with martial arts.,Arts & Culture - Film & Media
Hong Kong cinema influenced Hollywood action.,Arts & Culture - Film & Media
Quentin Tarantino heavily references other films.,Arts & Culture - Film & Media
Christopher Nolan emphasizes non-linear narratives.,Arts & Culture - Film & Media
Martin Scorsese is known for crime epics.,Arts & Culture - Film & Media
Ridley Scott blends sci-fi and realism.,Arts & Culture - Film & Media
Stanley Kubrick controlled every detail of his films.,Arts & Culture - Film & Media
Kubrick’s 2001: A Space Odyssey revolutionized sci-fi.,Arts & Culture - Film & Media
Francis Ford Coppola’s The Godfather redefined gangster films.,Arts & Culture - Film & Media
Film festivals like Cannes and Sundance launch new directors.,Arts & Culture - Film & Media
Independent films thrive in festivals before wide release.,Arts & Culture - Film & Media
"Film and media remain the most powerful storytelling mediums, shaping culture, politics, and imagination globally.",Arts & Culture - Film & Media
The word “cuisine” comes from the French word for “kitchen.”,Arts & Culture - Food & Culinary
"Pizza originated in Naples, Italy, in the 18th century.",Arts & Culture - Food & Culinary
Sushi began as a method of preserving fish in fermented rice.,Arts & Culture - Food & Culinary
Chocolate was first consumed as a bitter drink by the Maya.,Arts & Culture - Food & Culinary
Tomatoes are native to the Americas but central to Italian cuisine.,Arts & Culture - Food & Culinary
Chili peppers originated in the Americas and spread worldwide.,Arts & Culture - Food & Culinary
Coffee was first cultivated in Ethiopia.,Arts & Culture - Food & Culinary
"Tea originated in China over 4,000 years ago.",Arts & Culture - Food & Culinary
Honey never spoils if stored properly.,Arts & Culture - Food & Culinary
Salt was once so valuable it was used as currency.,Arts & Culture - Food & Culinary
The world’s most expensive spice is saffron.,Arts & Culture - Food & Culinary
"Bread is one of the oldest prepared foods, dating back over 10,000 years.",Arts & Culture - Food & Culinary
Pasta has over 350 recognized shapes.,Arts & Culture - Food & Culinary
Cheese is believed to have been discovered accidentally by storing milk in animal stomachs.,Arts & Culture - Food & Culinary
Ice cream dates back to ancient China and Persia.,Arts & Culture - Food & Culinary
Vanilla comes from orchids native to Mexico.,Arts & Culture - Food & Culinary
Cinnamon was once more valuable than gold.,Arts & Culture - Food & Culinary
"The croissant originated in Austria, not France.",Arts & Culture - Food & Culinary
The sandwich is named after the Earl of Sandwich.,Arts & Culture - Food & Culinary
Champagne must come from the Champagne region of France.,Arts & Culture - Food & Culinary
Olive oil is a staple of the Mediterranean diet.,Arts & Culture - Food & Culinary
"Soy sauce originated in China over 2,000 years ago.",Arts & Culture - Food & Culinary
The potato originated in Peru and Bolivia.,Arts & Culture - Food & Culinary
"Popcorn is one of the oldest snack foods, dating back 5,000 years.",Arts & Culture - Food & Culinary
The hamburger became popular in the U.S. in the early 20th century.,Arts & Culture - Food & Culinary
Curry is a concept from India but adapted globally.,Arts & Culture - Food & Culinary
Pasta carbonara was created in Italy after World War II.,Arts & Culture - Food & Culinary
Maple syrup comes primarily from Canada.,Arts & Culture - Food & Culinary
French fries may have originated in Belgium.,Arts & Culture - Food & Culinary
The word “restaurant” comes from French for “to restore.”,Arts & Culture - Food & Culinary
The oldest known recipe is for Sumerian beer.,Arts & Culture - Food & Culinary
Quinoa was sacred to the Inca civilization.,Arts & Culture - Food & Culinary
Peanut butter was first patented in 1884.,Arts & Culture - Food & Culinary
The world’s hottest pepper is the Carolina Reaper.,Arts & Culture - Food & Culinary
The Michelin Guide was originally a travel guide for motorists.,Arts & Culture - Food & Culinary
Umami was identified as the fifth taste in 1908.,Arts & Culture - Food & Culinary
Champagne bottles can explode under high pressure.,Arts & Culture - Food & Culinary
Caviar comes from sturgeon eggs.,Arts & Culture - Food & Culinary
"Tofu has been eaten in China for over 2,000 years.",Arts & Culture - Food & Culinary
Gnocchi are Italian dumplings made from potatoes.,Arts & Culture - Food & Culinary
Turmeric is both a spice and a medicinal plant.,Arts & Culture - Food & Culinary
Garlic is part of the onion family.,Arts & Culture - Food & Culinary
Truffles are rare fungi highly prized in cooking.,Arts & Culture - Food & Culinary
"The fortune cookie was popularized in California, not China.",Arts & Culture - Food & Culinary
Soy milk has been consumed in China for centuries.,Arts & Culture - Food & Culinary
The Caesar salad was invented in Mexico.,Arts & Culture - Food & Culinary
"Breadsticks originated in Turin, Italy.",Arts & Culture - Food & Culinary
The first cookbook was written in Mesopotamia on clay tablets.,Arts & Culture - Food & Culinary
Pizza Margherita is named after Queen Margherita of Savoy.,Arts & Culture - Food & Culinary
The baguette is a symbol of French cuisine.,Arts & Culture - Food & Culinary
Rice is a staple food for more than half the world’s population.,Arts & Culture - Food & Culinary
Kimchi is Korea’s national dish.,Arts & Culture - Food & Culinary
Currywurst is a popular German street food.,Arts & Culture - Food & Culinary
Escargot (snails) is a French delicacy.,Arts & Culture - Food & Culinary
Falafel originated in the Middle East.,Arts & Culture - Food & Culinary
"Hummus is made from chickpeas, tahini, lemon, and garlic.",Arts & Culture - Food & Culinary
Ramen originated in China but became iconic in Japan.,Arts & Culture - Food & Culinary
The taco is a traditional Mexican dish.,Arts & Culture - Food & Culinary
Pho is Vietnam’s national dish.,Arts & Culture - Food & Culinary
Bagels originated in Poland.,Arts & Culture - Food & Culinary
Croquettes are popular in Spain and France.,Arts & Culture - Food & Culinary
Curry leaves are different from curry powder.,Arts & Culture - Food & Culinary
"Soybeans are used for tofu, soy sauce, and miso.",Arts & Culture - Food & Culinary
Sourdough bread uses natural fermentation.,Arts & Culture - Food & Culinary
Chocolate contains antioxidants called flavonoids.,Arts & Culture - Food & Culinary
The banana is the world’s most popular fruit.,Arts & Culture - Food & Culinary
Mango is the national fruit of India.,Arts & Culture - Food & Culinary
Apples float in water because they are 25% air.,Arts & Culture - Food & Culinary
The avocado is botanically a berry.,Arts & Culture - Food & Culinary
Ketchup originated in China as a fermented fish sauce.,Arts & Culture - Food & Culinary
French toast dates back to Roman times.,Arts & Culture - Food & Culinary
Cheesecake was served at the first Olympic Games.,Arts & Culture - Food & Culinary
Gelato has less fat than ice cream.,Arts & Culture - Food & Culinary
Pasta Alfredo was created in Rome in 1914.,Arts & Culture - Food & Culinary
Curry spices have antimicrobial properties.,Arts & Culture - Food & Culinary
Mustard is one of the oldest condiments.,Arts & Culture - Food & Culinary
Worcestershire sauce contains anchovies.,Arts & Culture - Food & Culinary
Tabasco sauce is aged in oak barrels.,Arts & Culture - Food & Culinary
Chocolate was once used as currency.,Arts & Culture - Food & Culinary
Vanilla is the second most expensive spice after saffron.,Arts & Culture - Food & Culinary
Coca-Cola was originally marketed as a medicine.,Arts & Culture - Food & Culinary
The popsicle was invented by an 11-year-old in 1905.,Arts & Culture - Food & Culinary
Cotton candy was invented by a dentist.,Arts & Culture - Food & Culinary
Marshmallows were originally made from mallow plants.,Arts & Culture - Food & Culinary
Macarons are different from macaroons.,Arts & Culture - Food & Culinary
Pancakes exist in almost every culture.,Arts & Culture - Food & Culinary
Doughnuts were popularized in the U.S. by Dutch settlers.,Arts & Culture - Food & Culinary
Churros originated in Spain.,Arts & Culture - Food & Culinary
